subset,neural_hits,subset_n,neural_frac,base_rate,fold,p_hypergeometric,null_frac_perm,p_footprint_perm
constrained (phyloP),60,1583,0.03790271636133923,0.014352746342809827,2.6407988726371543,1.2620818684096782e-13,0.01454516740366393,0.0001999600079984003
high-impact (chromatin),13,753,0.017264276228419653,0.014352746342809827,1.2028552456839308,0.28471557610277337,0.015296414342629482,0.367126574685063
converged (both),6,164,0.036585365853658534,0.014352746342809827,2.5490150093808626,0.03074792104926832,0.014204878048780489,0.033393321335732855
