test,method,coef,ci_lo,ci_hi,p,n
axis_indep_all,spearman,-0.0040091651730542075,-0.02304236036408238,0.01473777190141397,0.6762254771786153,10853
axis_indep_all,pearson,0.06612974217493615,0.0419949365444866,0.09167043114632648,5.3486408839154046e-12,10853
axis_indep_constrained,spearman,0.0761105978651949,0.0275041238802772,0.1223407713944012,0.0024438278282214875,1583
axis_indep_constrained,pearson,0.11868772203016759,0.0628652024320078,0.17383259601506798,2.1880018258559545e-06,1583
axis_indep_highimpact,spearman,0.08838360794986765,0.017796340239949398,0.16002307883785014,0.015538988958923172,749
